"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"Jun 2016","9.000,0","8.700,0","9.350,0","8.650,0","664,40K","4,65%"
"May 2016","8.600,0","8.850,0","9.050,0","8.600,0","411,50K","-3,91%"
"Abr 2016","8.950,0","8.900,0","9.600,0","8.700,0","382,62K","0,56%"
"Mar 2016","8.900,0","9.050,0","9.100,0","8.750,0","352,70K","-2,20%"
"Feb 2016","9.100,0","8.350,0","9.450,0","8.250,0","1,47M","10,30%"
"Ene 2016","8.250,0","8.600,0","8.750,0","8.200,0","276,95K","-2,94%"
"Dic 2015","8.500,0","8.200,0","8.600,0","8.150,0","194,00K","1,19%"
"Nov 2015","8.400,0","8.200,0","8.450,0","8.000,0","1,33M","1,82%"
"Oct 2015","8.250,0","8.050,0","8.400,0","8.050,0","556,18K","0,00%"
"Sep 2015","8.250,0","7.900,0","8.250,0","7.850,0","864,04K","4,43%"
"Ago 2015","7.900,0","8.000,0","8.150,0","7.700,0","643,02K","-1,86%"
"Jul 2015","8.050,0","8.800,0","8.800,0","7.750,0","1,09M","-8,00%"
"Jun 2015","8.750,0","9.250,0","9.250,0","8.350,0","3,09M","-2,78%"
"May 2015","9.000,0","10.250,0","10.350,0","9.000,0","448,84K","-14,29%"
"Abr 2015","10.500,0","9.000,0","11.150,0","8.850,0","1,10M","17,98%"
"Mar 2015","8.900,0","9.150,0","9.350,0","8.400,0","323,65K","-4,81%"
"Feb 2015","9.350,0","9.400,0","9.900,0","9.250,0","1,38M","1,08%"
"Ene 2015","9.250,0","10.350,0","10.350,0","9.250,0","876,97K","-11,90%"
"Dic 2014","10.500,0","10.350,0","10.550,0","9.000,0","1,91M","0,48%"
"Nov 2014","10.450,0","11.000,0","11.350,0","10.250,0","1,53M","-5,00%"
"Oct 2014","11.000,0","11.950,0","12.250,0","10.900,0","381,85K","-7,95%"
"Sep 2014","11.950,0","12.500,0","12.500,0","11.900,0","837,40K","-4,40%"
"Ago 2014","12.500,0","12.400,0","12.500,0","12.100,0","378,09K","0,40%"
"Jul 2014","12.450,0","11.500,0","12.450,0","11.450,0","2,15M","8,26%"
"Jun 2014","11.500,0","10.350,0","11.500,0","10.100,0","1,67M","10,05%"
"May 2014","10.450,0","10.450,0","10.750,0","10.150,0","1,57M","0,97%"
"Abr 2014","10.350,0","10.800,0","11.500,0","10.350,0","750,70K","-4,61%"
"Mar 2014","10.850,0","9.850,0","10.900,0","9.500,0","647,49K","9,05%"
"Feb 2014","9.950,0","10.750,0","11.000,0","9.950,0","1,05M","-8,29%"
"Ene 2014","10.850,0","11.200,0","11.750,0","10.300,0","2,09M","-3,13%"
"Dic 2013","11.200,0","11.750,0","11.750,0","10.450,0","1,84M","-6,28%"
"Nov 2013","11.950,0","12.350,0","12.550,0","11.250,0","761,22K","-0,83%"
"Oct 2013","12.050,0","11.900,0","12.650,0","11.500,0","1,96M","3,43%"
"Sep 2013","11.650,0","12.500,0","12.800,0","10.800,0","752,49K","-7,17%"
"Ago 2013","12.550,0","12.550,0","13.150,0","12.400,0","274,80K","0,40%"
"Jul 2013","12.500,0","14.200,0","14.200,0","12.300,0","717,18K","-11,97%"
"Jun 2013","14.200,0","14.650,0","14.750,0","14.100,0","226,25K","-3,73%"
"May 2013","14.750,0","14.750,0","15.000,0","14.250,0","339,23K","3,51%"
"Abr 2013","14.250,0","15.150,0","15.400,0","14.250,0","1,34M","-5,94%"
"Mar 2013","15.150,0","15.550,0","15.550,0","14.000,0","793,44K","-2,57%"
"Feb 2013","15.550,0","15.050,0","16.100,0","15.050,0","1,24M","2,98%"
"Ene 2013","15.100,0","14.950,0","15.450,0","14.800,0","873,07K","1,68%"
"Dic 2012","14.850,0","14.600,0","14.950,0","14.000,0","1,35M","1,71%"
"Nov 2012","14.600,0","15.700,0","15.950,0","13.750,0","1,97M","-9,32%"
"Oct 2012","16.100,0","15.000,0","16.750,0","14.800,0","2,80M","9,15%"
