"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"Ene 2012","48.721,3","49.656,8","49.656,8","47.586,9","272,34K","-0,08%"
"Dic 2011","48.761,1","47.168,9","49.696,6","47.129,1","552,18K","2,68%"
"Nov 2011","47.487,4","48.661,6","49.238,8","46.770,9","274,86K","-3,91%"
"Oct 2011","49.417,9","48.761,1","50.054,8","47.965,0","198,29K","-0,68%"
"Sep 2011","49.756,3","48.562,1","51.249,0","47.766,0","582,90K","2,46%"
"Ago 2011","48.562,1","51.726,6","51.726,6","47.766,0","208,02K","-6,12%"
"Jul 2011","51.726,6","53.040,2","53.040,2","50.751,4","158,37K","-2,40%"
"Jun 2011","53.000,4","52.144,6","53.935,8","51.806,2","212,92K","1,80%"
"May 2011","52.065,0","52.741,6","53.736,8","50.950,4","496,20K","-1,69%"
"Abr 2011","52.960,6","54.353,7","54.712,0","52.164,5","169,49K","-2,53%"
"Mar 2011","54.333,8","54.532,9","55.488,2","52.761,5","234,29K","0,18%"
"Feb 2011","54.234,3","55.428,5","55.926,0","51.049,9","474,61K","-2,26%"
"Ene 2011","55.488,2","57.020,7","57.020,7","53.736,8","660,62K","-3,70%"
