"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"Nov 2011","1.265,00","1.300,00","1.310,00","1.135,00","52,92M","-3,80%"
"Oct 2011","1.315,00","1.320,00","1.395,00","1.305,00","13,55M","-6,07%"
"Sep 2011","1.400,00","1.250,00","1.455,00","1.250,00","21,78M","13,82%"
"Ago 2011","1.230,00","1.470,00","1.470,00","1.210,00","6,04M","-16,33%"
"Jul 2011","1.470,00","1.515,00","1.550,00","1.420,00","3,96M","-5,16%"
"Jun 2011","1.550,00","1.641,40","1.670,00","1.510,00","8,48M","-7,56%"
"May 2011","1.676,80","1.701,00","1.701,20","1.600,20","13,59M","-1,94%"
"Abr 2011","1.710,00","1.800,00","1.800,00","1.682,40","15,83M","-3,87%"
"Mar 2011","1.778,80","1.696,00","1.778,80","1.660,00","25,25M","4,92%"
"Feb 2011","1.695,40","1.750,00","1.800,00","1.643,00","23,35M","-3,12%"
"Ene 2011","1.750,00","1.707,40","1.770,00","1.630,00","13,02M","0,29%"
