"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"Ene 2012","51.180,00","51.200,00","51.200,00","51.180,00","21,00K","-0,08%"
"Dic 2011","51.220,00","51.220,00","51.220,00","51.220,00","4,19K","-1,50%"
"Nov 2011","52.000,00","50.980,00","52.000,00","50.980,00","6,00K","2,08%"
"Oct 2011","50.940,00","50.940,00","50.940,00","50.940,00","2,97K","0,04%"
"Sep 2011","50.920,00","50.920,00","50.920,00","50.920,00","12,43K","0,04%"
"Ago 2011","50.900,00","52.000,00","52.000,00","50.600,00","43,92K","-2,12%"
"Jul 2011","52.000,00","51.000,00","52.000,00","50.000,00","20,30K","-1,29%"
"Jun 2011","52.680,00","53.000,00","53.000,00","52.680,00","4,10K","1,31%"
"May 2011","52.000,00","55.480,00","55.500,00","52.000,00","11,00K","-6,14%"
"Abr 2011","55.400,00","56.000,00","56.000,00","55.300,00","12,05K","-0,32%"
"Mar 2011","55.580,00","57.000,00","57.000,00","55.580,00","148,14K","-2,56%"
"Feb 2011","57.040,00","59.800,00","59.800,00","57.040,00","5,21K","-4,77%"
"Ene 2011","59.900,00","58.400,00","59.900,00","58.400,00","0,75K","1,53%"
"Dic 2010","59.000,00","60.160,00","60.160,00","58.800,00","27,59K","0,00%"
"Nov 2010","59.000,00","60.100,00","60.540,00","59.000,00","53,49K","-6,35%"
"Oct 2010","63.000,00","60.040,00","63.100,00","60.020,00","7,17K","7,69%"
"Sep 2010","58.500,00","50.000,00","58.500,00","50.000,00","37,91K","19,39%"
"Ago 2010","49.000,00","48.000,00","49.000,00","48.000,00","20,39K","3,03%"
"Jul 2010","47.560,00","45.660,00","47.560,00","45.660,00","1,50K","5,69%"
"Jun 2010","45.000,00","45.000,00","45.000,00","45.000,00","0,90K","8,64%"
"May 2010","41.420,00","41.620,00","41.620,00","41.420,00","2,50K","2,02%"
"Abr 2010","40.600,00","40.020,00","40.600,00","40.020,00","1,40K","-4,47%"
"Mar 2010","42.500,00","40.020,00","42.500,00","40.020,00","4,43K","6,25%"
"Feb 2010","40.000,00","40.000,00","42.500,00","40.000,00","6,33K","0,00%"
"Ene 2010","40.000,00","40.000,00","40.000,00","40.000,00","5,09K","0,00%"
"Dic 2009","40.000,00","40.000,00","40.000,00","40.000,00","1,24K","10,80%"
"Nov 2009","36.100,00","24.000,00","36.100,00","24.000,00","18,00K","44,75%"
"Oct 2009","24.940,00","24.940,00","24.940,00","24.940,00","6,54K","10,35%"
"Sep 2009","22.600,00","22.000,00","27.000,00","21.000,00","68,64K","2,73%"
"Ago 2009","22.000,00","22.000,00","22.600,00","22.000,00","31,33K","-4,35%"
"Jul 2009","23.000,00","23.000,00","23.000,00","23.000,00","10,00K","4,55%"
"Jun 2009","22.000,00","20.200,00","22.000,00","20.200,00","3,15K","6,80%"
"May 2009","20.600,00","20.600,00","20.600,00","20.600,00","2,00K","-0,10%"
"Abr 2009","20.620,00","20.620,00","20.620,00","20.620,00","2,12K","5,20%"
"Mar 2009","19.600,00","19.600,00","19.600,00","19.600,00","2,50K","1,53%"
"Dic 2008","19.304,00","19.304,00","19.304,00","19.304,00","3,00K","-1,01%"
"Oct 2008","19.500,00","19.304,00","19.500,00","19.300,00","8,50K","1,37%"
"Sep 2008","19.236,00","19.224,00","19.236,00","19.112,00","5,00K","0,65%"
"Ago 2008","19.112,00","19.228,00","19.228,00","18.028,00","4,50K","6,01%"
"Jun 2008","18.028,00","19.000,00","19.104,00","18.028,00","2,01K","0,00%"
"May 2008","18.028,00","18.604,00","19.300,00","18.028,00","4,37K","-8,95%"
"Abr 2008","19.800,00","19.800,00","19.800,00","18.604,00","1,68K","10,00%"
"Ene 2008","18.000,00","18.000,00","18.000,00","18.000,00","1,50K","-1,10%"
