"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"Mar 2012","17.200,0","17.000,0","18.000,0","16.650,0","1,68M","1,47%"
"Feb 2012","16.950,0","14.700,0","17.150,0","14.300,0","2,49M","16,90%"
"Ene 2012","14.500,0","13.900,0","14.800,0","13.000,0","648,75K","8,21%"
"Dic 2011","13.400,0","13.800,0","14.100,0","11.950,0","1,00M","-2,90%"
"Nov 2011","13.800,0","16.300,0","16.300,0","12.600,0","2,50M","-17,12%"
"Oct 2011","16.650,0","17.000,0","18.600,0","16.250,0","1,49M","-2,06%"
"Sep 2011","17.000,0","18.750,0","19.000,0","17.000,0","328,63K","-10,05%"
"Ago 2011","18.900,0","20.150,0","20.500,0","18.500,0","242,73K","-6,20%"
"Jul 2011","20.150,0","20.650,0","20.750,0","19.250,0","1,16M","-2,18%"
"Jun 2011","20.600,0","21.750,0","22.500,0","20.500,0","1,64M","-6,15%"
"May 2011","21.950,0","20.200,0","21.950,0","19.850,0","1,26M","8,13%"
"Abr 2011","20.300,0","20.300,0","21.650,0","19.450,0","1,50M","-0,73%"
"Mar 2011","20.450,0","21.050,0","21.250,0","19.400,0","1,28M","-2,62%"
"Feb 2011","21.000,0","20.500,0","21.250,0","19.100,0","771,84K","2,44%"
"Ene 2011","20.500,0","21.500,0","22.750,0","20.500,0","1,89M","-4,65%"
"Dic 2010","21.500,0","21.500,0","22.750,0","21.000,0","1,11M","0,94%"
"Nov 2010","21.300,0","22.650,0","23.600,0","21.000,0","1,10M","-5,75%"
"Oct 2010","22.600,0","20.100,0","23.700,0","19.950,0","4,03M","13,85%"
"Sep 2010","19.850,0","19.100,0","20.250,0","18.700,0","4,52M","4,20%"
"Ago 2010","19.050,0","18.500,0","19.700,0","18.100,0","2,93M","3,53%"
"Jul 2010","18.400,0","17.800,0","18.900,0","17.650,0","2,08M","2,79%"
"Jun 2010","17.900,0","17.250,0","18.450,0","17.250,0","920,51K","4,37%"
"May 2010","17.150,0","18.500,0","18.750,0","16.500,0","841,90K","-7,05%"
"Abr 2010","18.450,0","19.100,0","19.250,0","18.250,0","1,48M","-3,40%"
"Mar 2010","19.100,0","16.700,0","20.000,0","16.700,0","2,74M","15,06%"
"Feb 2010","16.600,0","15.000,0","16.950,0","14.750,0","1,31M","11,04%"
"Ene 2010","14.950,0","14.750,0","15.350,0","14.100,0","524,00K","1,36%"
"Dic 2009","14.750,0","14.750,0","15.100,0","14.250,0","472,89K","-0,67%"
"Nov 2009","14.850,0","13.800,0","15.300,0","13.750,0","5,41M","5,69%"
"Oct 2009","14.050,0","14.550,0","14.750,0","13.300,0","1,68M","-4,10%"
"Sep 2009","14.650,0","13.500,0","14.950,0","12.900,0","1,91M","8,12%"
"Ago 2009","13.550,0","13.850,0","14.100,0","13.300,0","689,38K","-0,73%"
"Jul 2009","13.650,0","13.500,0","14.300,0","12.900,0","1,93M","1,11%"
"Jun 2009","13.500,0","11.550,0","13.700,0","11.150,0","2,53M","17,39%"
"May 2009","11.500,0","11.300,0","12.000,0","11.050,0","1,88M","4,07%"
"Abr 2009","11.050,0","8.307,3","11.400,0","8.160,7","1,47M","33,02%"
"Mar 2009","8.307,3","8.356,1","8.747,1","8.307,3","364,56K","-3,41%"
"Feb 2009","8.600,5","8.991,4","9.675,5","8.502,7","1,06M","-4,35%"
"Ene 2009","8.991,4","8.893,7","9.089,1","7.916,3","479,20K","1,10%"
"Dic 2008","8.893,7","9.138,0","9.382,3","8.307,3","959,83K","-2,67%"
"Nov 2008","9.138,0","9.186,9","10.457,4","8.795,9","1,96M","-0,53%"
"Oct 2008","9.186,9","13.242,8","13.242,8","8.307,3","1,70M","-31,14%"
"Sep 2008","13.340,5","14.659,9","15.344,0","13.145,0","825,79K","-4,21%"
"Ago 2008","13.926,9","14.171,2","14.171,2","13.145,0","586,27K","-1,72%"
"Jul 2008","14.171,2","14.171,2","14.317,8","13.780,3","981,27K","0,00%"
"Jun 2008","14.171,2","14.708,8","14.953,1","14.122,4","1,00M","-3,65%"
"May 2008","14.708,8","14.806,5","15.246,3","14.562,2","1,70M","-0,66%"
"Abr 2008","14.806,5","14.073,5","15.539,5","13.926,9","2,78M","52.592,17%"
"Mar 2008","28,1","27,4","28,9","26,9","570,47M","0,36%"
"Feb 2008","28,0","29,3","31,0","27,2","1,39B","-4,44%"
"Ene 2008","29,3","35,9","36,0","24,9","835,50M","-18,38%"
