"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"Sep 2014","18.000,0","19.140,0","19.440,0","17.500,0","4,82M","-5,26%"
"Ago 2014","19.000,0","18.600,0","19.200,0","17.700,0","7,43M","2,70%"
"Jul 2014","18.500,0","18.400,0","19.900,0","17.660,0","5,37M","0,54%"
"Jun 2014","18.400,0","17.800,0","20.300,0","17.000,0","5,50M","5,50%"
"May 2014","17.440,0","17.880,0","17.980,0","16.260,0","3,31M","-2,46%"
"Abr 2014","17.880,0","16.380,0","18.100,0","16.120,0","4,93M","8,89%"
"Mar 2014","16.420,0","16.120,0","16.500,0","15.340,0","6,60M","0,74%"
"Feb 2014","16.300,0","13.500,0","16.300,0","12.760,0","9,53M","20,74%"
"Ene 2014","13.500,0","14.800,0","15.440,0","13.280,0","5,66M","-8,78%"
"Dic 2013","14.800,0","14.500,0","15.260,0","13.360,0","8,63M","3,35%"
"Nov 2013","14.320,0","14.480,0","14.600,0","13.500,0","11,28M","-1,10%"
"Oct 2013","14.480,0","15.000,0","15.000,0","14.400,0","7,34M","-3,47%"
"Sep 2013","15.000,0","15.020,0","15.200,0","14.460,0","9,53M","0,00%"
"Ago 2013","15.000,0","15.500,0","16.840,0","13.980,0","6,53M","-1,96%"
"Jul 2013","15.300,0","12.980,0","15.500,0","12.660,0","8,24M","19,53%"
"Jun 2013","12.800,0","13.560,0","13.980,0","12.300,0","20,67M","-5,60%"
"May 2013","13.560,0","12.600,0","13.860,0","12.380,0","21,83M","5,94%"
"Abr 2013","12.800,0","13.740,0","13.940,0","12.500,0","12,22M","-6,71%"
"Mar 2013","13.720,0","13.480,0","14.080,0","13.300,0","5,67M","1,78%"
"Feb 2013","13.480,0","12.900,0","13.840,0","12.900,0","7,13M","0,60%"
"Ene 2013","13.400,0","11.400,0","13.400,0","11.400,0","13,10M","17,75%"
"Dic 2012","11.380,0","11.500,0","11.700,0","10.940,0","7,40M","-0,52%"
