"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"Sep 2014","6.080,0","6.500,0","6.620,0","6.050,0","7,97M","-6,46%"
"Ago 2014","6.500,0","6.160,0","6.590,0","6.120,0","12,20M","6,73%"
"Jul 2014","6.090,0","6.090,0","6.240,0","5.940,0","14,69M","-0,16%"
"Jun 2014","6.100,0","5.900,0","6.270,0","5.880,0","5,54M","3,39%"
"May 2014","5.900,0","5.920,0","6.120,0","5.800,0","8,44M","-0,84%"
"Abr 2014","5.950,0","5.910,0","6.090,0","5.690,0","6,39M","1,02%"
"Mar 2014","5.890,0","5.340,0","6.100,0","5.300,0","31,70M","9,07%"
"Feb 2014","5.400,0","5.110,0","5.590,0","5.110,0","4,35M","5,68%"
"Ene 2014","5.110,0","5.700,0","5.700,0","4.885,0","4,01M","-10,04%"
"Dic 2013","5.680,0","5.680,0","5.800,0","5.470,0","2,74M","0,53%"
"Nov 2013","5.650,0","6.090,0","6.100,0","5.650,0","4,53M","-7,07%"
"Oct 2013","6.080,0","6.240,0","6.400,0","6.040,0","28,78M","-2,09%"
"Sep 2013","6.210,0","5.700,0","6.350,0","5.700,0","14,67M","8,95%"
"Ago 2013","5.700,0","5.560,0","5.900,0","5.560,0","8,36M","3,07%"
"Jul 2013","5.530,0","4.900,0","5.580,0","4.865,0","6,18M","14,02%"
"Jun 2013","4.850,0","5.150,0","5.220,0","4.835,0","9,46M","-3,96%"
"May 2013","5.050,0","5.300,0","5.300,0","4.910,0","10,70M","-4,17%"
"Abr 2013","5.270,0","5.620,0","5.740,0","5.100,0","5,44M","-5,89%"
"Mar 2013","5.600,0","5.980,0","5.990,0","5.510,0","4,59M","-6,20%"
"Feb 2013","5.970,0","5.840,0","6.160,0","5.810,0","9,96M","2,93%"
"Ene 2013","5.800,0","5.310,0","6.090,0","5.240,0","9,57M","8,61%"
"Dic 2012","5.340,0","5.180,0","5.490,0","5.180,0","4,34M","1,33%"
"Nov 2012","5.270,0","5.380,0","5.380,0","4.900,0","2,53M","-3,30%"
"Oct 2012","5.450,0","4.975,0","5.450,0","4.700,0","9,30M","9,55%"
"Sep 2012","4.975,0","4.810,0","5.270,0","4.800,0","10,98M","3,65%"
"Ago 2012","4.800,0","4.660,0","4.945,0","4.535,0","6,39M","2,56%"
"Jul 2012","4.680,0","4.260,0","4.800,0","4.115,0","3,06M","9,99%"
"Jun 2012","4.255,0","4.450,0","4.540,0","4.165,0","2,31M","-9,47%"
"May 2012","4.700,0","4.775,0","4.990,0","4.405,0","4,62M","-1,47%"
"Abr 2012","4.770,0","4.350,0","4.785,0","4.230,0","3,53M","9,53%"
"Mar 2012","4.355,0","4.400,0","4.505,0","4.150,0","2,15M","-1,02%"
"Feb 2012","4.400,0","4.500,0","4.900,0","4.200,0","3,87M","-1,79%"
"Ene 2012","4.480,0","3.860,0","4.550,0","3.860,0","8,26M","17,12%"
"Dic 2011","3.825,0","4.010,0","4.120,0","3.795,0","2,68M","-4,61%"
"Nov 2011","4.010,0","4.220,0","4.250,0","3.760,0","3,28M","-6,31%"
"Oct 2011","4.280,0","4.190,0","4.400,0","4.070,0","4,38M","2,15%"
"Sep 2011","4.190,0","4.980,0","5.000,0","4.190,0","10,24M","-14,31%"
"Ago 2011","4.890,0","4.800,0","5.100,0","4.510,0","4,98M","3,82%"
"Jul 2011","4.710,0","5.070,0","5.180,0","4.330,0","2,24M","-7,10%"
"Jun 2011","5.070,0","5.190,0","5.290,0","5.020,0","2,17M","-2,50%"
"May 2011","5.200,0","4.950,0","5.200,0","4.700,0","4,09M","5,05%"
"Abr 2011","4.950,0","5.080,0","5.110,0","4.840,0","1,39M","-4,81%"
"Mar 2011","5.200,0","5.380,0","5.420,0","4.810,0","6,19M","-2,80%"
"Feb 2011","5.350,0","5.320,0","5.390,0","4.600,0","6,07M","2,69%"
"Ene 2011","5.210,0","5.770,0","5.840,0","5.210,0","2,61M","-9,71%"
"Dic 2010","5.770,0","6.000,0","6.250,0","5.740,0","5,19M","-2,20%"
"Nov 2010","5.900,0","6.590,0","6.590,0","5.600,0","7,50M","-9,79%"
"Oct 2010","6.540,0","6.750,0","6.780,0","6.500,0","9,29M","-3,82%"
"Sep 2010","6.800,0","6.620,0","7.000,0","6.250,0","27,54M","4,29%"
"Ago 2010","6.520,0","6.420,0","6.800,0","6.200,0","2,30M","1,09%"
"Jul 2010","6.450,0","6.190,0","6.700,0","6.120,0","2,64M","3,37%"
"Jun 2010","6.240,0","6.080,0","6.300,0","5.900,0","16,16M","2,97%"
"May 2010","6.060,0","6.180,0","6.400,0","5.580,0","6,28M","-1,94%"
"Abr 2010","6.180,0","5.900,0","6.200,0","5.682,0","8,49M","4,75%"
"Mar 2010","5.900,0","5.140,0","6.000,0","5.100,0","7,90M","12,60%"
"Feb 2010","5.240,0","5.198,0","5.250,0","4.900,0","4,26M","0,77%"
"Ene 2010","5.200,0","5.230,0","5.340,0","5.006,0","3,17M","1,56%"
"Dic 2009","5.120,0","5.320,0","5.500,0","5.000,0","4,89M","-5,01%"
"Nov 2009","5.390,0","4.848,0","5.500,0","4.800,0","4,86M","11,13%"
"Oct 2009","4.850,0","4.250,0","5.270,0","4.200,0","8,07M","11,49%"
"Sep 2009","4.350,0","3.410,0","4.450,0","3.364,0","9,16M","27,94%"
"Ago 2009","3.400,0","3.170,0","3.500,0","3.074,0","4,85M","9,61%"
"Jul 2009","3.102,0","3.210,0","3.210,0","3.022,0","5,46M","-3,36%"
"Jun 2009","3.210,0","3.060,0","3.210,0","3.020,0","2,42M","5,94%"
"May 2009","3.030,0","2.630,0","3.030,0","2.600,0","22,75M","15,38%"
"Abr 2009","2.626,0","2.362,0","2.650,0","2.350,0","126,75M","11,27%"
"Mar 2009","2.360,0","2.250,0","2.360,0","2.204,0","8,22M","4,89%"
"Feb 2009","2.250,0","2.320,0","2.350,0","2.250,0","4,58M","-3,02%"
"Ene 2009","2.320,0","2.160,0","2.320,0","2.100,0","8,85M","7,41%"
"Dic 2008","2.160,0","2.100,0","2.180,0","2.030,0","18,68M","2,56%"
"Nov 2008","2.106,0","2.070,0","2.180,0","1.940,0","17,73M","3,24%"
"Oct 2008","2.040,0","2.280,0","2.306,0","1.656,0","31,19M","-10,92%"
"Sep 2008","2.290,0","2.358,0","2.390,0","2.200,0","23,45M","-2,39%"
"Ago 2008","2.346,0","2.220,0","2.348,0","2.218,0","12,34M","4,83%"
"Jul 2008","2.238,0","2.202,0","2.300,0","2.070,0","15,43M","0,36%"
"Jun 2008","2.230,0","2.040,0","2.334,0","2.008,0","47,69M","9,10%"
"May 2008","2.044,0","1.990,0","2.090,0","1.800,0","22,35M","3,76%"
"Abr 2008","1.970,0","1.852,0","2.000,0","1.840,0","33,65M","7,42%"
"Mar 2008","1.834,0","1.950,0","1.980,0","1.800,0","9,66M","-8,76%"
"Feb 2008","2.010,0","2.070,0","2.120,0","1.854,0","14,04M","-2,14%"
"Ene 2008","2.054,0","2.462,0","2.462,0","1.702,0","29,19M","-17,18%"
